package,app_name,ad_type,role,price_type,clean_unit_id,sheet_source,max_unit_id
BlockCrush安卓,block_crush_gp,Interstitial,高价,high,e67cf5eb59958956,木块安卓,高价_BlockCrush_GP_FS_X_插屏1: e67cf5eb59958956
BlockCrush安卓,block_crush_gp,Interstitial,兜底,low,76246cafcac1027c,木块安卓,兜底_BlockCrush_GP_FS_XX_插屏2：76246cafcac1027c
BlockCrush安卓,block_crush_gp,Interstitial,中价,mid,678a9bbb4c2b6e8f,木块安卓,中价_BlockCrush_GP_FS_XXX_插屏3：678a9bbb4c2b6e8f
BlockCrush安卓,block_crush_gp,Rewarded,高价,high,5e4cf718e65864b9,木块安卓,高价_BlockCrush_GP_RV_X_激励1：5e4cf718e65864b9
BlockCrush安卓,block_crush_gp,Rewarded,兜底,low,e1da893e54110aa5,木块安卓,兜底_BlockCrush_GP_RV_XX_插屏2：e1da893e54110aa5
BlockCrush安卓,block_crush_gp,Rewarded,中价,mid,be5d1587ecec4a59,木块安卓,中价_BlockCrush_GP_RV_XXX_激励3：be5d1587ecec4a59
BlockCrush安卓,block_crush_gp,Interstitial,高价,high,efeaf5265c721ee8,木块安卓,高价_BlockCrush_GP_FS_3_插屏1：efeaf5265c721ee8
BlockCrush安卓,block_crush_gp,Interstitial,兜底,low,1c5b32681f21b95e,木块安卓,兜底_BlockCrush_GP_FS_2_插屏2：1c5b32681f21b95e
BlockCrush安卓,block_crush_gp,Interstitial,中价,mid,a43d79a36f00362a,木块安卓,中价_BlockCrush_GP_FS_4_插屏3：a43d79a36f00362a
BlockCrush安卓,block_crush_gp,Rewarded,高价,high,a95646f510c60b39,木块安卓,高价_BlockCrush_GP_RV_3_激励1：a95646f510c60b39
BlockCrush安卓,block_crush_gp,Rewarded,兜底,low,0e1ae86a178055fb,木块安卓,兜底_BlockCrush_GP_RV_2_激励2：0e1ae86a178055fb
BlockCrush安卓,block_crush_gp,Rewarded,中价,mid,77d7c0036809ad1e,木块安卓,中价_BlockCrush_GP_RV_4_激励3：77d7c0036809ad1e
BlockCrush安卓,block_crush_gp,Interstitial,高价,high,fc19b6e94976c7bf,木块安卓,高价_BlockCrush_GP_FS_6_插屏1：fc19b6e94976c7bf
BlockCrush安卓,block_crush_gp,Interstitial,兜底,low,0fa361532cf3f61f,木块安卓,兜底_BlockCrush_GP_FS_7_插屏2：0fa361532cf3f61f
BlockCrush安卓,block_crush_gp,Interstitial,中价,mid,509ddf4be629b386,木块安卓,中价_BlockCrush_GP_FS_5_插屏3：509ddf4be629b386
BlockCrush安卓,block_crush_gp,Rewarded,高价,high,12c1d698f4868e2f,木块安卓,高价_BlockCrush_GP_RV_6_激励1：12c1d698f4868e2f
BlockCrush安卓,block_crush_gp,Rewarded,兜底,low,58d989c777c84744,木块安卓,兜底_BlockCrush_GP_RV_7_激励2：58d989c777c84744
BlockCrush安卓,block_crush_gp,Rewarded,中价,mid,f4fd0d0efc8a0831,木块安卓,中价_BlockCrush_GP_RV_5_激励3：f4fd0d0efc8a0831
BlockCrush安卓,block_crush_gp,Interstitial,高价,high,6e86de80aca5ea43,木块安卓,高价_BlockCrush_GP_FS_9_插屏1：6e86de80aca5ea43
BlockCrush安卓,block_crush_gp,Interstitial,兜底,low,96ccade0699d8f45,木块安卓,兜底_BlockCrush_GP_FS_10_插屏2：96ccade0699d8f45
BlockCrush安卓,block_crush_gp,Interstitial,中价,mid,e9c80d34165f155d,木块安卓,中价_BlockCrush_GP_FS_8_插屏3: e9c80d34165f155d
BlockCrush安卓,block_crush_gp,Rewarded,高价,high,252b5c2a12204661,木块安卓,高价_BlockCrush_GP_RV_9_激励1：252b5c2a12204661
