package_name,platform,bundle_id,source,verified_at
Block Blast,GP,com.block.juggle,shucang_market.prj_pag_list,2026-06-24
Block Blast,iOS,com.blockpuzzle.us.ios,shucang_market.prj_pag_list,2026-06-24
Mahjong Blast,GP,com.nebula.mahjongtile,shucang_market.prj_pag_list,2026-06-24
Mahjong Blast,iOS,com.nebula.mahjongtile.ios,shucang_market.prj_pag_list,2026-06-24
Jade Mahjong,GP,com.wonderful.mahjong,shucang_market.prj_pag_list,2026-06-24
Jade Mahjong,iOS,com.wonderful.mahjong.ios,shucang_market.prj_pag_list,2026-06-24
Block Crush,GP,com.wood.block.sudoku.puzzle.bm,shucang_market.prj_pag_list,2026-06-24
Block Crush,iOS,com.blockcrush.travelmaster,shucang_market.prj_pag_list,2026-06-24
Sudoku Master,GP,com.mathbrain.sudoku,shucang_market.prj_pag_list,2026-06-24
Sudoku Master,iOS,com.mathbrain.sudoku.ios,shucang_market.prj_pag_list,2026-06-24
Double Tile,GP,com.hungrystudio.mahjong,shucang_market.prj_pag_list,2026-06-24
Double Tile,iOS,com.hungrystudio.mahjong.ios,ai_ck/agent_knowledge/metrics/mi_roi360_page_field_dictionary.json,2026-07-06
Solitaire Master,GP,solitaire.classic.hungrystudio.free.klondike.card.patience,shucang_market.prj_pag_list,2026-06-24
Solitaire Master,iOS,solitaire.hungrystudio.freecard,shucang_market.prj_pag_list,2026-06-24
Tap Tile,GP,com.nebula.tiles,shucang_market.prj_pag_list,2026-06-24
Tap Tile,iOS,com.nebula.tiles.ios,shucang_market.prj_pag_list,2026-06-24
Nut Sort GO,iOS,com.nebula.nutsort.ios,shucang_market.prj_pag_list,2026-06-24
Word Solitaire Go,GP,com.nebula.wordsolitaire,ai_ck/agent_knowledge/metrics/mi_roi360_page_field_dictionary.json,2026-07-06
Word Solitaire Go,iOS,com.nebula.wordsolitaire.ios,shucang_market.prj_pag_list,2026-06-24
Arrows Blast,GP,com.nebula.arrows,shucang_market.prj_pag_list,2026-06-24
Arrows Blast,iOS,com.nebula.arrows.ios,ai_ck/agent_knowledge/metrics/mi_roi360_page_field_dictionary.json,2026-07-06
